time,temp,prcp,solar radiation,relative humidity,prcp_rain
2024-01-01 03:00:00,6.749993896484398,0.0,0.0,83.9,0.0
2024-01-01 06:00:00,6.959985351562523,0.0,0.0,78.8,0.0
2024-01-01 09:00:00,9.749993896484398,0.0,60.0,65.7,0.0
2024-01-01 12:00:00,10.119989013671898,0.1,70.0,71.3,1.0
2024-01-01 15:00:00,8.029992675781273,0.19,30.0,70.5,1.0
2024-01-01 18:00:00,7.170007324218773,0.2,20.0,73.0,0.0
2024-01-01 21:00:00,6.179986572265648,0.0,0.0,79.6,0.0
2024-01-02 00:00:00,5.719995117187523,0.0,0.0,81.6,0.0
2024-01-02 03:00:00,5.600000000000023,0.0,0.0,80.3,0.0
2024-01-02 06:00:00,4.800012207031273,0.0,0.0,82.9,0.0
2024-01-02 09:00:00,7.580010986328148,0.0,110.0,67.4,0.0
2024-01-02 12:00:00,9.850000000000025,0.0,200.0,52.4,0.0
2024-01-02 15:00:00,8.189996337890648,0.0,120.0,59.4,0.0
2024-01-02 18:00:00,6.749993896484398,0.0,60.0,68.5,0.0
2024-01-02 21:00:00,6.179986572265648,0.0,0.0,77.7,0.0
2024-01-03 00:00:00,5.999993896484398,0.0,0.0,82.9,0.0
2024-01-03 03:00:00,6.290002441406273,0.0,0.0,83.4,0.0
2024-01-03 06:00:00,6.969995117187523,0.3,0.0,81.7,1.0
2024-01-03 09:00:00,8.459985351562523,0.7,20.0,76.5,1.0
2024-01-03 12:00:00,9.839990234375025,1.4,40.0,73.2,1.0
2024-01-03 15:00:00,9.540002441406273,0.4,50.0,76.9,0.0
2024-01-03 18:00:00,8.869989013671898,0.6,30.0,81.8,0.0
2024-01-03 21:00:00,8.629998779296898,0.1,0.0,81.8,0.0
2024-01-04 00:00:00,8.209985351562523,0.1,0.0,82.1,0.0
2024-01-04 03:00:00,8.080010986328148,0.1,0.0,81.4,0.0
2024-01-04 06:00:00,7.890008544921898,0.3,0.0,81.0,0.0
2024-01-04 09:00:00,9.209985351562525,0.8,40.0,75.8,1.0
2024-01-04 12:00:00,10.790002441406273,1.6,90.0,72.1,1.0
2024-01-04 15:00:00,9.670007324218773,0.7,70.0,78.3,1.0
2024-01-04 18:00:00,8.520013427734398,1.9,30.0,85.5,1.0
2024-01-04 21:00:00,7.820001220703148,0.52,0.0,87.5,0.0
2024-01-05 00:00:00,6.999993896484398,0.6,0.0,87.5,0.0
2024-01-05 03:00:00,6.459985351562523,0.1,0.0,87.1,0.0
2024-01-05 06:00:00,5.879998779296898,0.1,0.0,87.2,0.0
2024-01-05 09:00:00,8.760003662109398,0.0,100.0,75.2,0.0
2024-01-05 12:00:00,11.270013427734398,0.0,182.0,64.7,0.0
2024-01-05 15:00:00,10.159997558593773,0.03,120.0,70.2,0.0
2024-01-05 18:00:00,9.270013427734398,0.1,60.0,73.7,0.0
2024-01-05 21:00:00,8.999993896484398,0.07,0.0,72.4,0.0
2024-01-06 00:00:00,9.010003662109398,0.3,0.0,70.9,0.0
2024-01-06 03:00:00,8.790002441406273,0.31,0.0,69.6,0.0
2024-01-06 06:00:00,8.520013427734398,0.5,0.0,70.2,0.0
2024-01-06 09:00:00,9.520013427734398,0.17,50.0,68.3,0.0
2024-01-06 12:00:00,10.820001220703148,0.3,111.0,65.6,0.0
2024-01-06 15:00:00,10.200006103515648,0.2,70.0,69.9,0.0
2024-01-06 18:00:00,9.219995117187525,0.4,40.0,74.2,0.0
2024-01-06 21:00:00,8.760003662109398,0.4,0.0,77.9,0.0
2024-01-07 00:00:00,8.320001220703148,0.7,0.0,80.7,0.0
2024-01-07 03:00:00,7.969995117187523,0.46,0.0,82.3,0.0
2024-01-07 06:00:00,7.580010986328148,1.0,0.0,84.0,0.0
2024-01-07 09:00:00,8.589990234375023,0.48,50.0,79.1,1.0
2024-01-07 12:00:00,9.350000000000025,1.0,80.0,74.1,1.0
2024-01-07 15:00:00,8.300012207031273,0.8,60.0,78.0,1.0
2024-01-07 18:00:00,7.230004882812523,1.6,30.0,80.0,1.0
2024-01-07 21:00:00,6.339990234375023,0.59,0.0,81.8,0.0
2024-01-08 00:00:00,5.709985351562523,1.0,0.0,83.7,0.0
2024-01-08 03:00:00,4.899987792968773,0.59,0.0,84.6,0.0
2024-01-08 06:00:00,4.249993896484398,1.2,0.0,84.6,0.0
2024-01-08 09:00:00,5.070001220703148,0.5,60.0,76.2,0.0
2024-01-08 12:00:00,5.850000000000023,0.7,119.0,70.0,0.0
2024-01-08 15:00:00,5.110009765625023,0.36,90.0,71.3,0.0
2024-01-08 18:00:00,4.070001220703148,0.6,40.0,75.4,0.0
2024-01-08 21:00:00,3.2700134277343977,0.23,0.0,79.0,0.0
2024-01-09 00:00:00,2.4900146484375227,0.4,0.0,81.4,0.0
2024-01-09 03:00:00,1.8600097656250227,0.1,0.0,81.6,0.0
2024-01-09 06:00:00,1.2900024414062727,0.3,0.0,80.9,0.0
2024-01-09 09:00:00,2.5200134277343977,0.19,70.0,74.0,0.0
2024-01-09 12:00:00,3.8000122070312727,0.3,136.0,67.3,0.0
2024-01-09 15:00:00,3.0500122070312727,0.2,100.0,68.4,0.0
2024-01-09 18:00:00,1.8999877929687727,0.4,50.0,71.4,0.0
2024-01-09 21:00:00,1.3500000000000227,0.1,0.0,73.4,0.0
2024-01-10 00:00:00,0.7700134277343977,0.2,0.0,73.1,0.0
2024-01-10 03:00:00,0.0500122070312727,0.1,0.0,73.2,0.0
2024-01-10 06:00:00,-0.3800109863281022,0.4,0.0,74.3,0.0
2024-01-10 09:00:00,1.2700134277343975,0.2,90.0,63.2,0.0
2024-01-10 12:00:00,2.559991455078148,0.3,179.0,58.1,0.0
2024-01-10 15:00:00,1.5400024414062727,0.3,130.0,64.0,0.0
2024-01-10 18:00:00,0.4599853515625227,0.6,70.0,69.4,0.0
2024-01-10 21:00:00,-0.1600097656249772,0.25,0.0,68.9,0.0
2024-01-11 03:00:00,-6.940008544921852,0.0,0.0,93.0,0.0
2024-01-11 06:00:00,-7.320013427734352,0.0,0.0,92.9,0.0
2024-01-11 09:00:00,-4.229986572265602,0.0,130.0,84.2,0.0
2024-01-11 12:00:00,-1.5700134277343525,0.0,250.0,78.1,0.0
2024-01-11 15:00:00,-3.2099975585937277,0.0,190.0,86.6,0.0
2024-01-11 18:00:00,-5.239996337890602,0.0,90.0,91.9,0.0
2024-01-11 21:00:00,-5.419989013671852,0.0,0.0,90.3,0.0
2024-01-12 00:00:00,-5.130010986328102,0.0,0.0,88.1,0.0
2024-01-12 03:00:00,-5.729986572265602,0.0,0.0,90.2,0.0
2024-01-12 06:00:00,-5.799993896484352,0.0,0.0,91.3,0.0
2024-01-12 09:00:00,-2.6499999999999773,0.0,130.0,83.6,0.0
2024-01-12 12:00:00,-0.1900085449218522,0.0,250.0,79.4,0.0
2024-01-12 15:00:00,-1.5900024414062273,0.0,180.0,86.7,0.0
2024-01-12 18:00:00,-3.0199951171874773,0.0,90.0,91.3,0.0
2024-01-12 21:00:00,-3.2099975585937277,0.0,0.0,91.5,0.0
2024-01-13 00:00:00,-3.769995117187477,0.0,0.0,92.0,0.0
2024-01-13 03:00:00,-4.370001220703102,0.0,0.0,92.2,0.0
2024-01-13 06:00:00,-4.699987792968727,0.0,0.0,92.4,0.0
